"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","26309","N7 — Follow redirect and assert final URL @critical","webkit","2026-07-12","passed","2026-07-12","Redirect Page @regression","network/redirect.spec.ts","",""
"","13497","U1 — Select and unselect checkboxes @critical","webkit","2026-07-12","passed","2026-07-12","Checkboxes Page @regression","ui-components/checkboxes.spec.ts","",""
"","28462","A9: Duplicate user registration fails @critical","webkit","2026-07-12","passed","2026-07-12","Registration Page","auth/register.spec.ts","",""
"","2311","N1 — Trigger and assert 200 OK @critical","chromium","2026-07-12","passed","2026-07-12","Status Codes Page @regression","network/status-codes.spec.ts","",""
"","5260","F1: Enter valid data in text, number, and date fields @critical","firefox","2026-07-12","passed","2026-07-12","Web Inputs Page","forms/inputs.spec.ts","",""
"","4238","R3 — Delete note via UI @critical","webkit","2026-07-12","passed","2026-07-12","React Notes Application — UI @regression","notes-app/notes-app-ui.spec.ts","",""
"","184","P2 — Get note by ID @critical","webkit","2026-07-12","passed","2026-07-12","Notes API — Core CRUD @regression","api/notes-crud.spec.ts","",""
"","11031","Y1 — Scroll triggers new content load @critical","webkit","2026-07-12","passed","2026-07-12","Infinite Scroll Page @regression","async-content/infinite-scroll.spec.ts","",""
"","4187","Y4 — Drag slider to specific value via mouse @critical","chromium","2026-07-12","passed","2026-07-12","Horizontal Slider Page @regression","async-content/horizontal-slider.spec.ts","",""
"","1270","F4: Submit valid form succeeds @critical","firefox","2026-07-12","passed","2026-07-12","Form Validation Page","forms/form-validation.spec.ts","",""
"","321","P3 — Update note (full update) @critical","webkit","2026-07-12","passed","2026-07-12","Notes API — Core CRUD @regression","api/notes-crud.spec.ts","",""
"","140","Q1 — API root returns valid response @smoke","firefox","2026-07-12","passed","2026-07-12","Practice API @regression","api/practice-api.spec.ts","",""
"","16496","B9 — Right-click triggers context menu @critical","webkit","2026-07-12","passed","2026-07-12","Context Menu Page @regression","browser-apis/context-menu.spec.ts","",""
"","1954","N2 — Trigger and assert 404 Not Found @critical","chromium","2026-07-12","passed","2026-07-12","Status Codes Page @regression","network/status-codes.spec.ts","",""
"","4377","N7 — Follow redirect and assert final URL @critical","firefox","2026-07-12","passed","2026-07-12","Redirect Page @regression","network/redirect.spec.ts","",""
"","9364","A1: Successful login with valid credentials @smoke","webkit","2026-07-12","passed","2026-07-12","Login Page — Authentication Flows","auth/login.spec.ts","",""
"","20647","B4 — Interact with element inside internal iFrame @critical","webkit","2026-07-12","passed","2026-07-12","iFrame Page @regression","browser-apis/iframe.spec.ts","",""
"","16132","U3 — Select each radio option @critical","webkit","2026-07-12","passed","2026-07-12","Radio Buttons Page @regression","ui-components/radio-buttons.spec.ts","",""
"","4570","A3: Invalid password shows specific error @critical","chromium","2026-07-12","passed","2026-07-12","Login Page — Authentication Flows","auth/login.spec.ts","",""
"","54","P5 — Invalid payload: missing required fields @critical","webkit","2026-07-12","passed","2026-07-12","Notes API — Advanced @regression","api/notes-advanced.spec.ts","",""
"","8915","F1: Enter valid data in text, number, and date fields @critical","webkit","2026-07-12","passed","2026-07-12","Web Inputs Page","forms/inputs.spec.ts","",""
"","2737","R1 — Create a new note via UI @smoke","chromium","2026-07-12","passed","2026-07-12","React Notes Application — UI @regression","notes-app/notes-app-ui.spec.ts","",""
"","2462","U1 — Select and unselect checkboxes @critical","chromium","2026-07-12","passed","2026-07-12","Checkboxes Page @regression","ui-components/checkboxes.spec.ts","",""
"","34336","Y7 — Locate stable element despite changing locators @critical","webkit","2026-07-12","broken","2026-07-12","Challenging DOM Page @regression","async-content/challenging-dom.spec.ts","",""
"","24461","A5: Logout invalidates session @critical","webkit","2026-07-12","passed","2026-07-12","Login Page — Authentication Flows","auth/login.spec.ts","",""
"","13750","N4 — Detect broken images on page @critical","webkit","2026-07-12","passed","2026-07-12","Broken Images Page @regression","network/broken-images.spec.ts","",""
"","8001","F5: Required field missing triggers client-side validation @critical","webkit","2026-07-12","passed","2026-07-12","Form Validation Page","forms/form-validation.spec.ts","",""
"","469","P3 — Update note (full update) @critical","chromium","2026-07-12","passed","2026-07-12","Notes API — Core CRUD @regression","api/notes-crud.spec.ts","",""
"","15930","U8 — Open new window and validate content @critical","webkit","2026-07-12","passed","2026-07-12","Windows / Tabs Page @regression","ui-components/windows.spec.ts","",""
"","3962","R2 — Edit existing note via UI @critical","chromium","2026-07-12","passed","2026-07-12","React Notes Application — UI @regression","notes-app/notes-app-ui.spec.ts","",""
"","10551","Y7 — Locate stable element despite changing locators @critical","chromium","2026-07-12","passed","2026-07-12","Challenging DOM Page @regression","async-content/challenging-dom.spec.ts","",""
"","11336","A7: Password mismatch shows validation error @critical","webkit","2026-07-12","passed","2026-07-12","Registration Page","auth/register.spec.ts","",""
"","15","P6 — Auth boundary: no token returns 401 @critical","chromium","2026-07-12","passed","2026-07-12","Notes API — Advanced @regression","api/notes-advanced.spec.ts","",""
"","6735","Y1 — Scroll triggers new content load @critical","chromium","2026-07-12","passed","2026-07-12","Infinite Scroll Page @regression","async-content/infinite-scroll.spec.ts","",""
"","2077","U1 — Select and unselect checkboxes @critical","firefox","2026-07-12","passed","2026-07-12","Checkboxes Page @regression","ui-components/checkboxes.spec.ts","",""
"","50","P6 — Auth boundary: expired token returns 401 @critical","webkit","2026-07-12","passed","2026-07-12","Notes API — Advanced @regression","api/notes-advanced.spec.ts","",""
"","33","Q1 — API root returns valid response @smoke","webkit","2026-07-12","passed","2026-07-12","Practice API @regression","api/practice-api.spec.ts","",""
"","104","P6 — Auth boundary: expired token returns 401 @critical","firefox","2026-07-12","passed","2026-07-12","Notes API — Advanced @regression","api/notes-advanced.spec.ts","",""
"","4539","V5 — Upload valid file under 500KB @critical","chromium","2026-07-12","passed","2026-07-12","File Upload Page @regression","advanced-ui/file-upload.spec.ts","",""
"","310","Q2 — Authenticated endpoint with valid token @critical","chromium","2026-07-12","passed","2026-07-12","Practice API @regression","api/practice-api.spec.ts","",""
"","5093","V5 — Upload valid file under 500KB @critical","firefox","2026-07-12","passed","2026-07-12","File Upload Page @regression","advanced-ui/file-upload.spec.ts","",""
"","1408","B1 — Locate element inside shadow DOM root @critical","firefox","2026-07-12","passed","2026-07-12","Shadow DOM Page @regression","browser-apis/shadow-dom.spec.ts","",""
"","1532","D1 — Extract Chrome CPU value without static locators @critical","chromium","2026-07-12","passed","2026-07-12","Dynamic Table Page @regression","dynamic-dom/dynamic-table.spec.ts","",""
"","3249","A1: Successful login with valid credentials @smoke","firefox","2026-07-12","passed","2026-07-12","Login Page — Authentication Flows","auth/login.spec.ts","",""
"","3674","U3 — Select each radio option @critical","firefox","2026-07-12","passed","2026-07-12","Radio Buttons Page @regression","ui-components/radio-buttons.spec.ts","",""
"","43","P1 — Create note with valid payload @smoke","chromium","2026-07-12","passed","2026-07-12","Notes API — Core CRUD @regression","api/notes-crud.spec.ts","",""
"","13013","A6: Valid registration completes successfully @smoke","webkit","2026-07-12","passed","2026-07-12","Registration Page","auth/register.spec.ts","",""
"","4920","B11 — Hover to reveal tooltip @critical","chromium","2026-07-12","passed","2026-07-12","Tooltips Page @regression","browser-apis/tooltips.spec.ts","",""
"","4862","B9 — Right-click triggers context menu @critical","firefox","2026-07-12","passed","2026-07-12","Context Menu Page @regression","browser-apis/context-menu.spec.ts","",""
"","5873","R4 — Cross-layer validation: Create via UI, verify via API @critical","firefox","2026-07-12","passed","2026-07-12","React Notes Application — UI @regression","notes-app/notes-app-ui.spec.ts","",""
"","12864","F4: Submit valid form succeeds @critical","webkit","2026-07-12","passed","2026-07-12","Form Validation Page","forms/form-validation.spec.ts","",""
"","3278","A2: Invalid username shows specific error @critical","firefox","2026-07-12","passed","2026-07-12","Login Page — Authentication Flows","auth/login.spec.ts","",""
"","13847","A13: Valid OTP code proceeds authentication @critical","webkit","2026-07-12","skipped","2026-07-12","OTP Authentication Flow","auth/otp.spec.ts","",""
"","404","Q2 — Authenticated endpoint with valid token @critical","webkit","2026-07-12","passed","2026-07-12","Practice API @regression","api/practice-api.spec.ts","",""
"","2749","R3 — Delete note via UI @critical","chromium","2026-07-12","passed","2026-07-12","React Notes Application — UI @regression","notes-app/notes-app-ui.spec.ts","",""
"","13313","A2: Invalid username shows specific error @critical","webkit","2026-07-12","passed","2026-07-12","Login Page — Authentication Flows","auth/login.spec.ts","",""
"","1668","N4 — Detect broken images on page @critical","firefox","2026-07-12","passed","2026-07-12","Broken Images Page @regression","network/broken-images.spec.ts","",""
"","6537","R2 — Edit existing note via UI @critical","firefox","2026-07-12","passed","2026-07-12","React Notes Application — UI @regression","notes-app/notes-app-ui.spec.ts","",""
"","747","F1: Enter valid data in text, number, and date fields @critical","chromium","2026-07-12","passed","2026-07-12","Web Inputs Page","forms/inputs.spec.ts","",""
"","1868","B11 — Hover to reveal tooltip @critical","firefox","2026-07-12","passed","2026-07-12","Tooltips Page @regression","browser-apis/tooltips.spec.ts","",""
"","7481","R1 — Create a new note via UI @smoke","webkit","2026-07-12","passed","2026-07-12","React Notes Application — UI @regression","notes-app/notes-app-ui.spec.ts","",""
"","25","P5 — Invalid payload: missing required fields @critical","chromium","2026-07-12","passed","2026-07-12","Notes API — Advanced @regression","api/notes-advanced.spec.ts","",""
"","14505","B1 — Locate element inside shadow DOM root @critical","webkit","2026-07-12","passed","2026-07-12","Shadow DOM Page @regression","browser-apis/shadow-dom.spec.ts","",""
"","3129","V1 — Drag element A to drop zone B @critical @flaky","chromium","2026-07-12","passed","2026-07-12","Drag and Drop Page @regression","advanced-ui/drag-drop.spec.ts","",""
"","23","Q1 — GET /health: API availability check @smoke","chromium","2026-07-12","passed","2026-07-12","Practice API @regression","api/practice-api.spec.ts","",""
"","703","Q2 — Authenticated endpoint with valid token @critical","firefox","2026-07-12","passed","2026-07-12","Practice API @regression","api/practice-api.spec.ts","",""
"","3465","A3: Invalid password shows specific error @critical","firefox","2026-07-12","passed","2026-07-12","Login Page — Authentication Flows","auth/login.spec.ts","",""
"","2774","A7: Password mismatch shows validation error @critical","firefox","2026-07-12","passed","2026-07-12","Registration Page","auth/register.spec.ts","",""
"","88","P1 — Get all notes returns array @critical","firefox","2026-07-12","passed","2026-07-12","Notes API — Core CRUD @regression","api/notes-crud.spec.ts","",""
"","79","P6 — Auth boundary: no token returns 401 @critical","webkit","2026-07-12","passed","2026-07-12","Notes API — Advanced @regression","api/notes-advanced.spec.ts","",""
"","2543","U8 — Open new window and validate content @critical","firefox","2026-07-12","passed","2026-07-12","Windows / Tabs Page @regression","ui-components/windows.spec.ts","",""
"","59","P1 — Create note with valid payload @smoke","webkit","2026-07-12","passed","2026-07-12","Notes API — Core CRUD @regression","api/notes-crud.spec.ts","",""
"","2271","N2 — Trigger and assert 301 Redirect @critical","chromium","2026-07-12","passed","2026-07-12","Status Codes Page @regression","network/status-codes.spec.ts","",""
"","103","P5 — Invalid payload: empty title @critical","firefox","2026-07-12","passed","2026-07-12","Notes API — Advanced @regression","api/notes-advanced.spec.ts","",""
"","3265","B4 — Interact with element inside internal iFrame @critical","chromium","2026-07-12","passed","2026-07-12","iFrame Page @regression","browser-apis/iframe.spec.ts","",""
"","146","P2 — Get note by ID @critical","chromium","2026-07-12","passed","2026-07-12","Notes API — Core CRUD @regression","api/notes-crud.spec.ts","",""
"","2291","F7 — Select single option from dropdown @critical","firefox","2026-07-12","passed","2026-07-12","Dropdown Page @regression","forms/dropdown.spec.ts","",""
"","194","P2 — Get note by ID @critical","firefox","2026-07-12","passed","2026-07-12","Notes API — Core CRUD @regression","api/notes-crud.spec.ts","",""
"","232","P4 — Delete note and verify 404 @critical","chromium","2026-07-12","passed","2026-07-12","Notes API — Core CRUD @regression","api/notes-crud.spec.ts","",""
"","2519","N1 — Trigger and assert 200 OK @critical","firefox","2026-07-12","passed","2026-07-12","Status Codes Page @regression","network/status-codes.spec.ts","",""
"","218","P5 — Invalid payload: missing required fields @critical","firefox","2026-07-12","passed","2026-07-12","Notes API — Advanced @regression","api/notes-advanced.spec.ts","",""
"","23628","B7 — Mock specific coordinates (London) and assert display @critical","webkit","2026-07-12","passed","2026-07-12","Geolocation Page @regression","browser-apis/geolocation.spec.ts","",""
"","16689","N2 — Trigger and assert 301 Redirect @critical","webkit","2026-07-12","passed","2026-07-12","Status Codes Page @regression","network/status-codes.spec.ts","",""
"","2860","R3 — Delete note via UI @critical","firefox","2026-07-12","passed","2026-07-12","React Notes Application — UI @regression","notes-app/notes-app-ui.spec.ts","",""
"","5309","B9 — Right-click triggers context menu @critical","chromium","2026-07-12","passed","2026-07-12","Context Menu Page @regression","browser-apis/context-menu.spec.ts","",""
"","9785","Y1 — Scroll triggers new content load @critical","firefox","2026-07-12","passed","2026-07-12","Infinite Scroll Page @regression","async-content/infinite-scroll.spec.ts","",""
"","94","P6 — Auth boundary: invalid token returns 401 @critical","firefox","2026-07-12","passed","2026-07-12","Notes API — Advanced @regression","api/notes-advanced.spec.ts","",""
"","200","P4 — Delete note and verify 404 @critical","webkit","2026-07-12","passed","2026-07-12","Notes API — Core CRUD @regression","api/notes-crud.spec.ts","",""
"","9885","Y7 — Locate stable element despite changing locators @critical","firefox","2026-07-12","passed","2026-07-12","Challenging DOM Page @regression","async-content/challenging-dom.spec.ts","",""
